,id,Category,Name,Amount,Unit,List_Price,Price_per_unit_of_measure,Currency
259,2004744,mercearia,Bolo com Recheio de Chocolate,0.228,KG,2.19,9.61,€
260,5732655,mercearia,Polpa de Tomate com Cebola e Alho,0.5,KG,1.29,2.58,€
261,7545517,mercearia,Cápsulas de Café Mythiq Int 15,80.0,UN,22.99,0.29,€
262,6284510,mercearia,Massa Penne Rigate,0.5,KG,2.25,4.50,€
263,6009925,mercearia,Massa Esparguete,1.0,KG,2.16,2.16,€
264,2005208,mercearia,Salsichas Frankfurt Originais Lata 6 un,0.25,KG,1.39,11.58,€
265,6811350,mercearia,Massa Esparguete,0.5,KG,1.21,2.42,€
266,2965875,mercearia,Feijão Manteiga Cozido,0.82,KG,2.39,4.60,€
267,2004174,mercearia,Caldo de Galinha Cubos,24.0,KG,4.99,20.79,€
268,6818173,mercearia,Atum Posta em Molho de Tomate e Oregãos,0.12,KG,0.99,12.69,€
269,4714094,mercearia,Bolo Glacé,0.2,KG,2.19,10.95,€
270,4411982,mercearia,"Croutons com Azeite, Alho e Salsa",0.075,KG,0.74,9.87,€
271,7698081,mercearia,Cápsulas de Café Original Int 8,18.0,UN,7.39,0.41,€
272,6016565,mercearia,Pistácio no Forno,0.07,KG,2.07,29.57,€
273,2395877,mercearia,Feijão Preto Cozido,0.845,KG,1.99,4.25,€
274,2859833,mercearia,Feijão Preto Cozido,0.42,KG,0.84,3.23,€
275,7414639,mercearia,Batata Frita Palha Finíssima,0.18,KG,1.59,8.83,€
277,7535216,mercearia,Atum Posta em Azeite,0.385,KG,3.29,13.16,€
278,5775443,mercearia,"Saqueta de Fruta Maçã, Banana e Pêssego +4M",0.1,KG,0.79,7.90,€
279,4037760,mercearia,Infusão Cidreira Saquetas,20.0,UN,1.39,0.07,€
280,2005617,mercearia,Arroz Vaporizado,1.0,KG,1.3,1.30,€
281,7413101,mercearia,Batata Frita Lisa Gourmet,0.17,KG,1.49,8.76,€
282,2859491,mercearia,Feijão Branco Cozido,0.83,KG,1.19,2.29,€
283,2628845,mercearia,Bolachas de Água e Sal,0.168,KG,2.79,16.61,€
284,7623711,mercearia,Cápsulas de Café Vietnam,10.0,UN,4.59,0.46,€
285,3731553,mercearia,Massa Penne Mezzaan Rigate,0.5,KG,1.97,3.94,€
286,7519384,mercearia,Batata Frita Sabor Ketchup,0.15,KG,1.99,13.27,€
287,2007347,mercearia,Salsichas Frankfurt 6 un,0.24,KG,0.96,8.00,€
288,4558637,mercearia,Bolachas Argolinhas com Cobertura Chocolate Negro,0.15,KG,0.79,5.27,€
289,7405696,mercearia,Cápsulas de Café Ristretto Napoli Style Int 13,64.0,UN,18.99,0.30,€
290,5809349,mercearia,Atum em Filete com Limão e Piripiri,0.12,KG,2.89,37.05,€
291,7029267,mercearia,Pistácio Torrado sem Sal,0.2,KG,2.99,14.95,€
292,2925297,mercearia,Ketchup Top Down,0.46,KG,3.04,6.61,€
293,5893824,mercearia,Pastilhas Elásticas Frutos Silvestres,0.0825,KG,2.99,36.02,€
294,2003649,mercearia,Atum Posta em Óleo,0.385,KG,4.8,19.12,€
295,4992400,mercearia,Salsichas Wienerwurst Frasco 5 un,0.44,KG,2.99,13.59,€
296,6338236,mercearia,Bolachas Chocolate Chips,0.25,KG,3.44,13.76,€
297,4940520,mercearia,Bolachas Marinheiras com Sal,0.2,KG,2.14,10.70,€
298,4555303,mercearia,Pudim Flan Baunilha,0.6,KG,1.19,1.98,€
299,5026334,mercearia,Pastilhas Elásticas 60 Minutos Spearmint,3.0,KG,2.79,46.50,€
300,7178366,mercearia,Puré de Fruta Manga e Maçã +8M,4.0,KG,2.29,5.73,€
301,2603538,mercearia,Tomate Triturado,0.5,KG,1.39,2.78,€
302,6524562,mercearia,Massinha Pevide,0.5,KG,1.5,3.00,€
303,7404772,mercearia,Bolachas Crackers Folha de Azeitona,0.15,KG,1.99,13.27,€
305,7643346,mercearia,Pêssego em Calda,0.824,KG,2.29,2.78,€
306,6191787,mercearia,Massa Penne Rigate Integral,0.5,KG,2.06,4.12,€
307,4312757,mercearia,Leite Condensado,0.397,KG,1.49,3.75,€
308,4833013,mercearia,Batata Frita Palha,0.4,KG,2.59,6.47,€
309,6823764,mercearia,Bolachas Mini,0.16,KG,1.69,10.56,€
310,2232813,mercearia,Arroz Basmati Extra Longo,1.0,KG,2.35,2.35,€
311,7267762,mercearia,"Saqueta de Fruta e Legumes Maçã, Abóbora e Batata Doce +8M",0.09,KG,0.74,8.22,€
312,6028241,mercearia,Snacks Tortilla Nachips,0.185,KG,2.99,16.16,€
313,4837862,mercearia,Arroz Carolino Extra Longo,1.0,KG,2.01,2.01,€
314,7332667,mercearia,Cereais Estrelas de Mel Pack Poupança,1.0,KG,3.99,3.99,€
315,7723950,mercearia,Gelatina Pronta Melancia sem Açúcar,0.36,KG,1.53,4.25,€
316,3003821,mercearia,Cogumelos Inteiros sem Glúten,0.355,KG,1.25,6.76,€
317,5832855,mercearia,Tortitas de Arroz com 54% Chocolate sem Glúten,0.122,KG,1.59,13.03,€
318,5505351,mercearia,Bolachas Dinosaurus Ovos,0.14,KG,2.19,15.64,€
319,7360186,mercearia,Bolachas Pequeno Almoço Multicereais,0.3,KG,1.99,6.63,€
320,5723893,mercearia,Sal Marinho Grosso,1.0,KG,0.29,0.29,€
321,5667803,mercearia,Bolachas Shortcake,0.18,KG,1.69,9.39,€
322,5647225,mercearia,Atum Posta em Azeite Virgem Extra e Oregãos,0.12,KG,1.97,25.26,€
