,time_scraped,quantity,main_category,name,amount,unit,price,price_p_unit,currency,id,brand,full_category,variant,channel
100,16/05/2023 23:30:10,64 UN | 0.30 €/UN,mercearia,Cápsulas de Café Sical Int 7,64 UN,UN,18.99,0.30,€,7405694,Dolce Gusto,"Mercearia/Café, Chá e Chocolate Solúvel/Café em Cápsulas",,col
101,16/05/2023 23:30:10,140 GR | 15.36 €/KG,mercearia,Batata Frita Lisa Light Original,140 GR,KG,2.15,15.36,€,4272742,Lays,Mercearia/Snacks e Batatas Fritas/Batatas Fritas,,col
102,16/05/2023 23:30:10,330 GR | 9.06 €/KG,mercearia,Doce Pêssego,330 GR,KG,2.99,9.06,€,2167599,Casa de Mateus,"Mercearia/Compotas, Cremes e Mel/Doces e Compotas",,col
103,16/05/2023 23:30:10,350 GR (PESO ESCORRIDO 160 GR) | 14.94 €/KG,mercearia,Salsichas Perú e Ervas Aromáticas Lata 8 un,350 GR,KG,2.39,14.94,€,7553596,Nobre,Mercearia/Conservas/Salsichas,,col
104,16/05/2023 23:30:10,380 GR (PESO ESCORRIDO 250 GR) | 8.36 €/KG,mercearia,Salsichas Frankfurt Originais Lata 10 un,380 GR,KG,2.09,8.36,€,2005214,Nobre,Mercearia/Conservas/Salsichas,,col
105,16/05/2023 23:30:10,350 GR (PESO ESCORRIDO 200 GR) | 6.95 €/KG,mercearia,Salsichas de Aves Frankfurt Lata 8 un,350 GR,KG,1.39,6.95,€,4727785,Izidoro,Mercearia/Conservas/Salsichas,,col
106,16/05/2023 23:30:10,355 GR (PESO ESCORRIDO 185 GR) | 5.89 €/KG,mercearia,Cogumelos Laminados sem Glúten,355 GR,KG,1.09,5.89,€,7434253,Despensa Clássica,"Mercearia/Conservas/Cogumelos, Milho, Ervilhas",,col
107,16/05/2023 23:30:10,500 GR | 3.30 €/KG,mercearia,Massa Macarronete Penne Grande Riscado,500 GR,KG,1.65,3.30,€,2665109,Milaneza,"Mercearia/Arroz, Massa e Farinha/Massa",,col
108,16/05/2023 23:30:10,375 GR | 4.77 €/KG,mercearia,Doce Extra de Tomate,375 GR,KG,1.79,4.77,€,2116731,Continente,"Mercearia/Compotas, Cremes e Mel/Doces e Compotas",,col
109,16/05/2023 23:30:10,90 GR | 8.22 €/KG,mercearia,Saqueta de Fruta Multifrutos e Espelta +8M,90 GR,KG,0.74,8.22,€,7243789,Continente,"Mercearia/Alimentação Infantil/Boiões, Saquetas e Puré de Fruta",,col
110,16/05/2023 23:30:10,390 GR | 2.46 €/KG,mercearia,Tomate Pelado Inteiro,390 GR,KG,0.96,2.46,€,5982563,Guloso,"Mercearia/Conservas/Tomate Polpa, Pelado e Seco",,col
111,16/05/2023 23:30:10,200 GR | 15.45 €/KG,mercearia,Miolo de Amêndoa Torrada,200 GR,KG,3.09,15.45,€,7029093,Continente,"Frutas e Legumes/Frutos Secos, Desidratados e Sementes",,col
112,16/05/2023 23:30:10,1 KG | 2.16 €/KG,mercearia,Arroz Carolino,1 KG,KG,2.16,2.16,€,2769753,Bom Sucesso,"Mercearia/Arroz, Massa e Farinha/Arroz",,col
