Name,Quantity,Price,Time scraped
 Bolachas de Aveia 0% AvenaCol Cuétara ," 250 G  | 11,96 €/KG
"," 2,99 € ",2023-05-12 18:26:22
 Café Moagem Universal Organic Delta ," 220 G  | 21,77 €/KG
"," 4,79 € ",2023-05-12 18:26:22
 Descafeinado Moagem Universal Delta ," 220 G  | 0,02 €/KG
"," 4,99 € ",2023-05-12 18:26:22
 Pêssego em Calda Pingo Doce ," 820 G  | 2,79 €/KG
"," 2,29 € ",2023-05-12 18:26:22
 Drageias de Morango Smint ," 2 UN  | 2,00 €/UNIDADE
"," 3,99 € ",2023-05-12 18:26:22
 Drageias de Eucalipto Smint ," 35 G  | 65,43 €/KG
"," 2,29 € ",2023-05-12 18:26:22
 Caramelos Rainbow Mentos - Pack 3 ," 3X38 G  | 20,96 €/KG
"," 2,39 € ",2023-05-12 18:26:22
 Caramelos Frutas Mentos - Pack 3 ," 3X38 G  | 20,96 €/KG
"," 2,39 € ",2023-05-12 18:26:22
 Molho Inglês Lea Perrins ," 150 ML  | 33,27 €/LT
"," 4,99 € ",2023-05-12 18:26:22
 Café Grão Lote Chávena Delta ," 1 KG  | 13,99 €/KG
"," 13,99 € ",2023-05-12 18:26:22
 Mistura Ibérica Torrada Moída Delta ," 250 G  | 9,16 €/KG
"," 2,29 € ",2023-05-12 18:26:22
 Mistura Peninsular Torrada Moída Delta ," 250 G  | 7,56 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Cevada Torrada Moída Delta ," 250 G  | 3,96 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Pastilha Elástica Frutos Vermelhos Big Bottle Full Fruit Mentos ," 60 G  | 49,00 €/KG
"," 2,94 € ",2023-05-12 18:26:22
 Mel de Portugal com Doseador Serramel ," 500 G  | 12,38 €/KG
"," 6,19 € ",2023-05-12 18:26:22
 Azeitona Verde Retalhada Pingo Doce ," 560 G  | 5,34 €/KG
"," 2,99 € ",2023-05-12 18:26:22
 Nata para Café Président ," 10 UN  | 0,11 €/UNIDADE
"," 1,15 € ",2023-05-12 18:26:22
 Gelatina Frutos do Bosque Condi ," 2X85 G  | 11,12 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Gelatina Mirtilo Condi ," 2X85 G  | 11,12 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Bolsa 100% Frutas e Chia Pingo Doce ," 120 G  | 7,42 €/KG
"," 0,89 € ",2023-05-12 18:26:22
 Mini Wraps de Trigo Koala ," 260 G  | 8,42 €/KG
"," 2,19 € ",2023-05-12 18:26:22
 Gelatina Amora Condi ," 2X85 G  | 11,12 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Gelatina Vegetal Manga Condi ," 2X90 G  | 13,56 €/KG
"," 2,44 € ",2023-05-12 18:26:22
 Tomate em Pedaços com Orégãos e Manjericão Pingo Doce ," 390 G  | 2,54 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Gelatina Maracujá Condi ," 2X85 G  | 11,12 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Gelatina Tutti Frutti Condi ," 2X85 G  | 11,12 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Gelatina Morango Condi ," 2X85 G  | 11,12 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Gelatina Pêssego Condi ," 2X85 G  | 11,12 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Gelatina Ananás Condi ," 2X85 G  | 11,12 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Sal Grosso em Balde Vatel ," 800 G  | 1,49 €/KG
"," 1,19 € ",2023-05-12 18:26:22
 Fermento de Padeiro sem Glúten Condi ," 4X11 G  | 40,68 €/KG
"," 1,79 € ",2023-05-12 18:26:22
 Gelatina Vegetal Morango Condi ," 2X90 G  | 13,56 €/KG
"," 2,44 € ",2023-05-12 18:26:22
 Gelatina de Tangerina Condi ," 170 G  | 10,99 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Tremoços 13/15 Pingo Doce ," 800 G  | 3,74 €/KG
"," 2,99 € ",2023-05-12 18:26:22
 Sêmola de Milho sem Glúten Ceifeira ," 500 G  | 1,38 €/KG
"," 0,69 € ",2023-05-12 18:26:22
 Puré de Fruta Maçã Pêra Blédina ," 8X95 G  | 6,70 €/KG
"," 5,09 € ",2023-05-12 18:26:22
 Puré de Fruta Maçã e Banana Blédina ," 8X95 G  | 6,70 €/KG
"," 5,09 € ",2023-05-12 18:26:22
 Tremoços Picantes Maçarico ," 150 G  | 12,84 €/KG
"," 1,99 € ",2023-05-12 18:26:22
 Snack de Manga Soft Frubis ," 50 G  | 23,80 €/KG
"," 1,19 € ",2023-05-12 18:26:22
 Snack de Abacaxi Soft Frubis ," 50 G  | 23,80 €/KG
"," 1,19 € ",2023-05-12 18:26:22
 Truffas com Ovos Moles ," 120 G  | 29,08 €/KG
"," 3,49 € ",2023-05-12 18:26:22
 Bolachas com Recheio de Cacau Pingo Doce ," 500 G  | 3,18 €/KG
"," 1,59 € ",2023-05-12 18:26:22
 Drageias de Frutos Silvestres Smint ," 35 G  | 65,43 €/KG
"," 2,29 € ",2023-05-12 18:26:22
 Sal Grosso Vatel ," 1 KG  | 0,49 €/KG
"," 0,49 € ",2023-05-12 18:26:22
 Pastilha Elástica de Spearmint Pingo Doce ," 22 G  | 28,64 €/KG
"," 0,63 € ",2023-05-12 18:26:22
 Pastilha Elástica Morango Bubbaloo ," 38 G  | 15,79 €/KG
"," 0,60 € ",2023-05-12 18:26:22
 Alcaparras em Vinagre Maçarico ," 125 G  | 22,32 €/KG
"," 2,79 € ",2023-05-12 18:26:22
 Molho Indiano Sweet Chutney de Manga Pataks ," 340 G  | 14,09 €/KG
"," 4,79 € ",2023-05-12 18:26:22
 Molho Indiano Butter Chicken Pataks ," 450 G  | 8,64 €/KG
"," 3,89 € ",2023-05-12 18:26:22
 Drageias de Peppermint Smint ," 35 G  | 65,43 €/KG
"," 2,29 € ",2023-05-12 18:26:22
 Molho Indiano Tikka Masala com Tomate Cremoso Pataks ," 450 G  | 8,64 €/KG
"," 3,89 € ",2023-05-12 18:26:22
 Pastilha Elástica Fruit Frutos Silvestres Trident ," 14.5 G  | 68,28 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Pastilha Elástica Max Watermelon Frost Trident ," 3X20 G  | 46,50 €/KG
"," 2,79 € ",2023-05-12 18:26:22
 Bolachas Recheadas com Morango Barquette Lu ," 120 G  | 19,08 €/KG
"," 2,29 € ",2023-05-12 18:26:22
 Ervilhas Pingo Doce ," 420 G  | 1,86 €/KG
"," 0,78 € ",2023-05-12 18:26:22
 Pastilha Elástica 60 Minutos Spearmint Trident ," 3X20 G  | 46,50 €/KG
"," 2,79 € ",2023-05-12 18:26:22
 Batatas Fritas Onduladas Pingo Doce - Pack 4 ," 4X45 G  | 8,28 €/KG
"," 1,49 € ",2023-05-12 18:26:22
 Bolachas Cracker Clássicas Tuc ," 31 G  | 28,71 €/KG
"," 0,89 € ",2023-05-12 18:26:22
 Pastilha Elástica Melão Melancia Trident ," 14.5 G  | 68,28 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Pastilha Elástica Senses Spearmint Trident ," 23 G  | 43,04 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Pastilha Elástica Extreme Mentol Trident ," 14 G  | 70,71 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Pastilha Elástica Max II Framboesa Limão Trident ," 23 G  | 43,04 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Pastilha Elástica Max II Spearmint Trident ," 23 G  | 43,04 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Pastilha Elástica Morango Max Splash Trident ," 3X22 G  | 42,27 €/KG
"," 2,79 € ",2023-05-12 18:26:22
 Pastilha Elástica Max Strawberry Trident ," 22 G  | 49,55 €/KG
"," 1,09 € ",2023-05-12 18:26:22
 Pastilha Elástica Menta Verde Pure Fresh Mentos ," 30 G  | 61,33 €/KG
"," 1,84 € ",2023-05-12 18:26:22
 Mostarda com Grãos Pingo Doce ," 190 G  | 7,32 €/KG
"," 1,39 € ",2023-05-12 18:26:22
 Polpa de Maracujá Pingo Doce ," 565 G  | 5,82 €/KG
"," 3,29 € ",2023-05-12 18:26:22
 Drageias de Limão Smint ," 35 G  | 65,43 €/KG
"," 2,29 € ",2023-05-12 18:26:22
 Rebuçados de Mel e Limão Halls ," 32 G  | 29,37 €/KG
"," 0,94 € ",2023-05-12 18:26:22
 Rebuçados de Eucalipto Halls ," 32 G  | 29,37 €/KG
"," 0,94 € ",2023-05-12 18:26:22
 Pastilha Elástica Fresh Peppermint Trident ," 14.5 G  | 68,28 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Pastilha Elástica Fresh Spearmint Trident ," 14.5 G  | 68,28 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Pastilha Elástica Fruit Morango Trident ," 14.5 G  | 68,28 €/KG
"," 0,99 € ",2023-05-12 18:26:22
 Tomate Pelado Inteiro Pingo Doce ," 780 G  | 1,65 €/KG
"," 1,29 € ",2023-05-12 18:26:22
 Caramelos Menta Mentos ," 38 G  | 23,42 €/KG
"," 0,89 € ",2023-05-12 18:26:22
 Chupa-Chupa Crazy Dips Morango Chups ," 1 UN  | 0,69 €/UNIDADE
"," 0,69 € ",2023-05-12 18:26:22
